,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,51079400000.0,1e-06,52741700000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
1,45943600000.0,1e-06,47759900000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
2,50581800000.0,1e-06,53057400000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
3,49367500000.0,1e-06,51081100000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
4,51079400000.0,1e-06,52741700000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
5,37135500000.0,1e-06,38078360000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
6,37584830000.0,1e-06,37425570000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
7,37922800000.0,1e-06,38249350000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
8,36797530000.0,1e-06,37254570000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
9,50492600000.0,1e-06,52075800000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
10,49118600000.0,1e-06,51239000000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
11,50830600000.0,1e-06,52899600000.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
